,id,date_created,no_of_likes,no_of_reply,source,tweets,url,username,location
1147,1559222026493108231,2022-08-15 16:54:34+00:00,7,1,Twitter for iPhone,"Will you miss seeing her play and why?

Listen to this podcast and share your thoughts. https://t.co/xcIKYwFkwz",https://twitter.com/MobilePunch/status/1559222026493108231,MobilePunch,"Lagos, Nigeria"
1148,1559221739762098177,2022-08-15 16:53:26+00:00,42,2,Twitter for iPhone,"Daily Podcast: Reviewing Serena Williams’ 27-Year Impressive Career

Multiple grand slam winner, Serena Williams, has announced her imminent retirement from the tennis, a sport that has brought her so much fame and accolades. It is literally, the end of an era. https://t.co/wNQRLRvFSo",https://twitter.com/MobilePunch/status/1559221739762098177,MobilePunch,"Lagos, Nigeria"
1149,1559219912412913664,2022-08-15 16:46:10+00:00,81,1,Echobox,Domestic violence: Anambra sets up family court https://t.co/mfPoT9Bk2z,https://twitter.com/MobilePunch/status/1559219912412913664,MobilePunch,"Lagos, Nigeria"
1150,1559217040250097669,2022-08-15 16:34:45+00:00,79,19,Echobox,"Kidnap kingpin, Wadume bags seven years imprisonment https://t.co/DvqdyYvJAq",https://twitter.com/MobilePunch/status/1559217040250097669,MobilePunch,"Lagos, Nigeria"
1151,1559214247036571649,2022-08-15 16:23:39+00:00,7,0,Twitter for iPhone,"Credit: Twitter | AreaFada1

--
Follow us for more breaking news and videos
--
#peterobi #elrufai #charlyboy #punchnewspaper",https://twitter.com/MobilePunch/status/1559214247036571649,MobilePunch,"Lagos, Nigeria"
1152,1559214243794280448,2022-08-15 16:23:39+00:00,24,2,Twitter for iPhone,The only tin wey dey worry dis clown na the one million march pass by Peter Obi supporters. Nonsense  #ourmumudondo’’,https://twitter.com/MobilePunch/status/1559214243794280448,MobilePunch,"Lagos, Nigeria"
1153,1559214238303981568,2022-08-15 16:23:37+00:00,10,1,Twitter for iPhone,"“Can you just imagine dis clannish clown, El Rufai… Kaduna is now the leading state in terrorism. 
 
“The once upon a time very peaceful state is now a bandit paradise. Many of the victims of the Kaduna train attack dem still hold hostage.",https://twitter.com/MobilePunch/status/1559214238303981568,MobilePunch,"Lagos, Nigeria"
1154,1559214234776502275,2022-08-15 16:23:37+00:00,10,1,Twitter for iPhone,"In a tweet, the Kaduna governor made fun of the proposed Kaduna rally for the presidential candidate of the Labour party, Peter Obi. 
 
Charly Boy slammed El Rufai on Twitter for caring about the rally in Kaduna amid insecurity and other concerns.",https://twitter.com/MobilePunch/status/1559214234776502275,MobilePunch,"Lagos, Nigeria"
1155,1559214231005921281,2022-08-15 16:23:36+00:00,702,39,Twitter for iPhone,"Charly Boy Slams El-Rufai Over Dismissal Of Obi’s Rally 

Nigerian singer, Charles Chukwuemeka Oputa popularly known as Charly Boy, on Monday, slammed Kaduna State governor, Nasir El-Rufai, for dismissing the proposed rally for Labour Party in Kaduna. https://t.co/AsE9pEk6R1",https://twitter.com/MobilePunch/status/1559214231005921281,MobilePunch,"Lagos, Nigeria"
1156,1559211220305051656,2022-08-15 16:11:38+00:00,43,0,Echobox,Umahi's female rival not suspended - APC ward chair https://t.co/NZzHRwCdXR,https://twitter.com/MobilePunch/status/1559211220305051656,MobilePunch,"Lagos, Nigeria"
1157,1559208831615377409,2022-08-15 16:02:08+00:00,45,4,Echobox,Nigeria’s inflation rate hits 17-year all-time high — NBS https://t.co/LTfYaHGwoB,https://twitter.com/MobilePunch/status/1559208831615377409,MobilePunch,"Lagos, Nigeria"
1158,1559205352310276096,2022-08-15 15:48:19+00:00,75,5,Echobox,"Fund education sector - Don, alumni body tell FG https://t.co/Ruea6YZl7m",https://twitter.com/MobilePunch/status/1559205352310276096,MobilePunch,"Lagos, Nigeria"
1159,1559202427009654785,2022-08-15 15:36:41+00:00,165,13,Echobox,JUST IN: Ruto wins Kenya presidential election https://t.co/NkjTZK7bmb,https://twitter.com/MobilePunch/status/1559202427009654785,MobilePunch,"Lagos, Nigeria"
