,id,date_created,no_of_likes,no_of_reply,source,tweets,url,username,location
388,1338188517340491778,2020-12-13 18:26:19+00:00,167,4,Twitter for iPhone,"I know that this must be challenging times for the parents/guardians of the 333 students abducted in the attack on Government Science Secondary School, Kankara, Katsina State.",https://twitter.com/PeterObi/status/1338188517340491778,PeterObi,Nigeria
389,1338188515700600836,2020-12-13 18:26:19+00:00,99,2,Twitter for iPhone,Government and all stakeholders must take extraordinary measures to address this menace that is impacting negatively on our existence as a nation.,https://twitter.com/PeterObi/status/1338188515700600836,PeterObi,Nigeria
390,1338188514048024579,2020-12-13 18:26:18+00:00,1726,122,Twitter for iPhone,"It is tragic enough that terrorists are killing and maiming our citizens; disrupting our lives and stifling our development, but their continued attack on our schools is an attack on our greatest asset: human resource.",https://twitter.com/PeterObi/status/1338188514048024579,PeterObi,Nigeria
391,1337754713937342465,2020-12-12 13:42:32+00:00,262,52,Twitter for iPhone,"That means by end of this year, Nigeria will have over 110 million people living in poverty. It is important to know that of this 11 million person falling into poverty, eight million are youths. -PO",https://twitter.com/PeterObi/status/1337754713937342465,PeterObi,Nigeria
392,1337754711831818240,2020-12-12 13:42:32+00:00,1186,241,Twitter for iPhone,"Our country is drifting, it is collapsing. If we don’t do anything, it will set its revenge on us. The World Bank forecasts that this year alone, 11 million Nigerians will fall into poverty.

https://t.co/MCIjX5NNDS",https://twitter.com/PeterObi/status/1337754711831818240,PeterObi,Nigeria
393,1336686859586588672,2020-12-09 14:59:16+00:00,922,130,Twitter for iPhone,"We must purge ourselves of selfishness, greed &amp; self-aggrandisement if we must do away with corruption. If every one of us, especially the political leaders can dust corruption off our hearts, then we will develop better as a nation.-PO
#AntiCorruptionDay

https://t.co/YKkLF3KnTW",https://twitter.com/PeterObi/status/1336686859586588672,PeterObi,Nigeria
394,1336650879785635840,2020-12-09 12:36:18+00:00,681,98,Twitter for iPhone,"On behalf of my family, I celebrate with Gen. T Y Danjuma on the occasion of his birthday. May Almighty God who sees your commitment to a better Nigeria grant you many more healthy years in the service to humanity. -PO https://t.co/vhztOl5GLM",https://twitter.com/PeterObi/status/1336650879785635840,PeterObi,Nigeria
395,1335674755643559937,2020-12-06 19:57:32+00:00,627,56,Twitter for iPhone,"Exciting engagement, @CatrionaLaing1. It was good to catch up with you.",https://twitter.com/PeterObi/status/1335674755643559937,PeterObi,Nigeria
396,1333809417863786499,2020-12-01 16:25:20+00:00,188,25,Twitter for iPhone,"My sincere condolences to families of the deceased, Governor Zulum, and people and government of Borno. May their souls rest in peace. -PO",https://twitter.com/PeterObi/status/1333809417863786499,PeterObi,Nigeria
397,1333809416156622851,2020-12-01 16:25:20+00:00,1124,141,Twitter for iPhone,"The horrendous killing of hard-working farmers in Borno is primitive and has no place in our society. It stands condemned. Very importantly, FG must now urgently reset the security architecture in the country, especially in the North East.",https://twitter.com/PeterObi/status/1333809416156622851,PeterObi,Nigeria
398,1333702684583600129,2020-12-01 09:21:13+00:00,1098,78,Twitter for iPhone,I shared some thoughts that are critical to the recovery of Nigeria’s economy. -PO https://t.co/8YbUq1XvTt,https://twitter.com/PeterObi/status/1333702684583600129,PeterObi,Nigeria
399,1333329919691067392,2020-11-30 08:39:59+00:00,6269,447,Twitter for iPhone,We cannot borrow our way out of our situation. Our biggest challenge is that we've been borrowing for consumption and not for productivity. -PO #AriseTV,https://twitter.com/PeterObi/status/1333329919691067392,PeterObi,Nigeria
400,1333325932136951808,2020-11-30 08:24:08+00:00,1414,147,Twitter for iPhone,"I am on @ARISETV, Channel 416–discussing Nigeria's economy and the state of the nation, amongst others. -PO",https://twitter.com/PeterObi/status/1333325932136951808,PeterObi,Nigeria
401,1331655618290208768,2020-11-25 17:46:55+00:00,2096,147,Twitter for iPhone,"Your Excellency @atiku, on behalf of my family, I rejoice with you on the occasion of your birthday. May Almighty God who sees your goodness and commitment to a better Nigeria grant you many more healthy years in the service of our fatherland. -PO https://t.co/jfjzwmhQ90",https://twitter.com/PeterObi/status/1331655618290208768,PeterObi,Nigeria
402,1330607653555482625,2020-11-22 20:22:40+00:00,6648,491,Twitter for iPhone,"For Nigeria to pull itself out of this economic recession, the 2nd in the last 5 years, there's a compelling need to cut the pork out of the budget and expenditure at all levels of govt and redirect the economy from a wasteful consumption-based one to a productive economy. -PO",https://twitter.com/PeterObi/status/1330607653555482625,PeterObi,Nigeria
403,1328575729869656064,2020-11-17 05:48:32+00:00,1756,223,Twitter for iPhone,The poverty rate in Nigeria should worry every concerned leader because there couldn’t be national growth under this situation. https://t.co/KsDdwMS0qo,https://twitter.com/PeterObi/status/1328575729869656064,PeterObi,Nigeria
404,1325161549732835328,2020-11-07 19:41:48+00:00,491,93,Twitter for iPhone,I hope that the world will benefit from the lesson of the election of @JoeBiden. -PO,https://twitter.com/PeterObi/status/1325161549732835328,PeterObi,Nigeria
405,1325161548168499201,2020-11-07 19:41:48+00:00,3108,610,Twitter for iPhone,"I congratulate Americans for electing a competent man who truly embodies the spirit of empathy, love, peace, liberty, care for the poor and less privileged, and a firm believer in a level playing field that defines the spirit of the USA. I",https://twitter.com/PeterObi/status/1325161548168499201,PeterObi,Nigeria
